SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532986,NIRAJ CEMENT,X ,Q,17.15,17.15,15.40,16.55,16.55,17.25,10,281,4715.00,
532987,RANE BRAKE  ,B ,Q,630.00,630.00,592.05,595.35,595.35,630.30,397,6114,3692599.00,
532988,RANE ENGVL  ,B ,Q,526.00,526.00,488.00,493.20,498.00,525.65,52,280,141347.00,
532989,BAFNA PHARMA,T ,Q,8.55,8.55,8.55,8.55,8.55,9.00,7,659,5634.00,
532990,METKORE     ,T ,Q,0.90,0.90,0.90,0.90,0.90,0.88,1,1,0.00,
532991,MVL LIMITED ,B ,Q,0.21,0.21,0.20,0.21,0.21,0.20,4,251,51.00,
532994,ARCHIDPLY IN,B ,Q,35.40,36.20,35.40,36.20,36.20,35.80,11,1100,39740.00,
532997,KSK ENERGY  ,B ,Q,1.00,1.01,0.97,1.01,1.01,0.97,130,342418,340288.00,
532998,LEHIL       ,B ,Q,20.00,20.00,19.50,19.85,19.75,20.00,6,351,6967.00,
533001,SOMI CONVEY ,B ,Q,25.00,25.00,25.00,25.00,25.00,23.50,1,5,125.00,
533006,BIRLA COTSYN,XT,Q,0.08,0.08,0.08,0.08,0.08,0.08,15,23321,1865.00,
533007,LGB FORGE   ,T ,Q,3.70,3.70,3.52,3.52,3.52,3.70,10,3003,10930.00,
533008,OCL IRON&ST ,T ,Q,4.10,4.34,3.99,4.18,4.18,4.20,57,67991,274144.00,
533012,LANDMRK PRO ,B ,Q,4.53,4.65,4.53,4.53,4.53,4.76,40,5787,26257.00,
533014,SICAGEN IND ,B ,Q,22.55,23.50,22.05,22.20,22.20,22.85,49,10955,250403.00,
533015,NUTEK INDIA ,Z ,Q,0.37,0.37,0.36,0.36,0.36,0.37,12,9662,3489.00,
533022,20 MICRONS  ,B ,Q,35.05,40.00,35.05,38.00,38.00,36.95,36,1795,68569.00,
533023,WABCO       ,A ,Q,6244.95,6245.00,6203.00,6207.10,6203.00,6250.30,75,232,1442065.00,
533029,ALKALI      ,B ,Q,42.00,42.00,42.00,42.00,42.00,41.00,1,1,42.00,
533033,ISGEC       ,B ,Q,552.35,559.90,550.55,553.70,551.05,560.05,108,7117,3944083.00,
533047,INDIAN MET  ,B ,Q,238.00,242.00,236.60,237.65,237.65,239.40,53,1755,418854.00,
533056,VEDAVAAG    ,X ,Q,24.50,26.80,24.00,25.20,25.85,25.15,35,2115,53371.00,
